Entity,Code,Year,Agriculture | 00002051 || Gross Production Value (current thousand US$) | 000057 || thousand US Dollar
Africa (FAO),,1991,110929131000
Africa (FAO),,1992,105629369000
Africa (FAO),,1993,113233783000
Africa (FAO),,1994,96701657000
Africa (FAO),,1995,118562929000
Africa (FAO),,1996,146994269000
Africa (FAO),,1997,144208696000
Africa (FAO),,1998,142806118000
Africa (FAO),,1999,116196292000
Africa (FAO),,2000,108962984000
Africa (FAO),,2001,118593721000
Africa (FAO),,2002,129376951000
Africa (FAO),,2003,138055605000
Africa (FAO),,2004,151768921000
Africa (FAO),,2005,180256421000
Africa (FAO),,2006,204142557000
Africa (FAO),,2007,224155350000
Africa (FAO),,2008,291118681000
Africa (FAO),,2009,236395735000
Africa (FAO),,2010,284483275000
Africa (FAO),,2011,304048986000
Africa (FAO),,2012,315046936000
Africa (FAO),,2013,325639037000
Africa (FAO),,2014,335679158000
Africa (FAO),,2015,302264637000
Africa (FAO),,2016,282140170000
Africa (FAO),,2017,280958837000
Africa (FAO),,2018,298737135000
Africa (FAO),,2019,308927076000
Africa (FAO),,2020,322922579000
Africa (FAO),,2021,333817553000
Africa (FAO),,2022,337586786000
Africa (FAO),,2023,320421001000